sequential
dense: Dense_1 [ 1, ][ 1, ] relu
dense: Dense_2 [ 1, ][ 2, ] relu
dense: Dense_3 [ 2, ][ 1, ] linear
Epoch: 129, batch index: 140 Loss: [	1.586178	]

Epoch: 130, batch index: 3 Loss: [	1.728835	]

Epoch: 131, batch index: 222 Loss: [	0.787734	]

Epoch: 132, batch index: 246 Loss: [	1.419420	]

Epoch: 133, batch index: 32 Loss: [	0.723150	]

Epoch: 134, batch index: 224 Loss: [	1.819801	]

Epoch: 135, batch index: 50 Loss: [	0.913855	]

Epoch: 136, batch index: 11 Loss: [	2.207509	]

Epoch: 137, batch index: 245 Loss: [	1.469814	]

Epoch: 138, batch index: 212 Loss: [	1.336820	]

Epoch: 139, batch index: 116 Loss: [	1.214064	]

Epoch: 140, batch index: 218 Loss: [	1.446849	]

Epoch: 141, batch index: 34 Loss: [	1.121142	]

Epoch: 142, batch index: 11 Loss: [	2.106253	]

Epoch: 143, batch index: 234 Loss: [	0.826733	]

Epoch: 144, batch index: 171 Loss: [	1.991503	]

Epoch: 145, batch index: 2 Loss: [	1.534659	]

Epoch: 146, batch index: 32 Loss: [	0.587757	]

Epoch: 147, batch index: 245 Loss: [	1.341300	]

Epoch: 148, batch index: 59 Loss: [	0.988155	]

Epoch: 149, batch index: 140 Loss: [	1.273238	]

Epoch: 150, batch index: 245 Loss: [	1.310261	]

Epoch: 151, batch index: 186 Loss: [	1.489304	]

Epoch: 152, batch index: 198 Loss: [	1.494547	]

Epoch: 153, batch index: 16 Loss: [	0.970840	]

Epoch: 154, batch index: 2 Loss: [	1.415404	]

Epoch: 155, batch index: 244 Loss: [	1.807372	]

Epoch: 156, batch index: 235 Loss: [	1.163743	]

Epoch: 157, batch index: 72 Loss: [	1.290661	]

Epoch: 158, batch index: 18 Loss: [	1.814100	]

Epoch: 159, batch index: 179 Loss: [	1.229928	]

Epoch: 160, batch index: 222 Loss: [	0.505595	]

Epoch: 161, batch index: 149 Loss: [	1.990672	]

Epoch: 162, batch index: 68 Loss: [	0.987998	]

Epoch: 163, batch index: 74 Loss: [	1.143959	]

Epoch: 164, batch index: 217 Loss: [	0.830044	]

Epoch: 165, batch index: 143 Loss: [	0.314859	]

Epoch: 166, batch index: 189 Loss: [	1.664776	]

Epoch: 167, batch index: 192 Loss: [	1.021687	]

Epoch: 168, batch index: 3 Loss: [	1.171130	]

Epoch: 169, batch index: 231 Loss: [	1.257418	]

Epoch: 170, batch index: 104 Loss: [	1.659937	]

